shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2,46.254211,6.059692,60
2,46.254444,6.059711,61
2,46.254696,6.059547,62
2,46.255299,6.058582,63
2,46.255554,6.057951,64
2,46.255630,6.057844,65
2,46.255817,6.057887,66
2,46.256596,6.059078,67
2,46.257240,6.060001,68
2,46.258034,6.061116,69
2,46.258434,6.061658,70
2,46.259232,6.060532,71
2,46.260513,6.058660,72
2,46.261940,6.060462,73
2,46.263382,6.061481,74
2,46.264297,6.062747,75
2,46.263382,6.061481,76
2,46.261940,6.060462,77
2,46.260513,6.058660,78
2,46.256832,6.053923,79
2,46.256821,6.053708,80
2,46.256626,6.053681,81
2,46.256615,6.053971,82
2,46.254887,6.056530,83
2,46.255627,6.057613,84
2,46.255589,6.057807,85
2,46.255501,6.057935,86
2,46.255157,6.058483,87
2,46.254650,6.059512,88
2,46.254421,6.059706,89
2,46.254211,6.059692,90
2,46.254120,6.059075,91
2,46.253975,6.057235,92
2,46.253883,6.053005,93
2,46.253738,6.051916,94
2,46.252884,6.047303,95
2,46.252468,6.045538,96
2,46.252415,6.045136,97
2,46.252445,6.044669,98
2,46.252132,6.044637,99
2,46.248272,6.041547,100
2,46.243534,6.037438,101

3,46.231503,6.054035,0
3,46.231731,6.054078,1
3,46.231724,6.056138,2
3,46.231667,6.056342,3
3,46.230404,6.055634,4
3,46.230309,6.055301,5
3,46.230122,6.052576,6
3,46.230576,6.051074,7
3,46.231033,6.051192,8
3,46.23159,6.051782,9
3,46.232349,6.05219,10
3,46.232624,6.052169,11
3,46.2341,6.053038,12
3,46.234234,6.052995,13
3,46.235222,6.049519,14
3,46.23539,6.048725,15
3,46.236481,6.044884,16
3,46.236683,6.044701,17
3,46.236935,6.044594,18
3,46.236839,6.044176,19
3,46.236824,6.043671,20
3,46.239449,6.034509,21
3,46.239574,6.034209,22
3,46.240059,6.034026,23
3,46.240631,6.034455,24
3,46.2435,6.037534,25
3,46.243992,6.036859,26
3,46.243954,6.036386,27
3,46.242729,6.034884,28
3,46.2425,6.035249,29
3,46.242352,6.035239,30
3,46.242256,6.035067,31
3,46.242008,6.035517,32
3,46.242134,6.035711,33
3,46.242352,6.035239,34
3,46.2425,6.035249,35
3,46.242729,6.034884,36
3,46.242695,6.034638,37
3,46.242798,6.034445,38
3,46.24324,6.034294,39
3,46.243813,6.033747,40
3,46.244141,6.033254,41
3,46.244415,6.033071,42
3,46.240829,6.03011,43
3,46.240719,6.029853,44
3,46.241913,6.025797,45
3,46.242085,6.025615,46
3,46.242352,6.025711,47
3,46.242996,6.02643,48
3,46.244999,6.026398,49
3,46.245453,6.026838,50
3,46.246883,6.028823,51
3,46.247204,6.028501,52
3,46.247581,6.028361,53
3,46.248116,6.027696,54
3,46.248634,6.026881,55
3,46.249527,6.026977,56
3,46.250484,6.025797,57
3,46.250645,6.025786,58
3,46.251011,6.026076,59
3,46.251232,6.025829,60
3,46.251194,6.025593,61
3,46.251656,6.024467,62
3,46.251717,6.023823,63
3,46.251553,6.023415,64
3,46.250908,6.022954,65
3,46.250572,6.022106,66
3,46.250736,6.021194,67
3,46.250572,6.022106,68
3,46.250908,6.022954,69
3,46.251553,6.023415,70
3,46.251717,6.023823,71
3,46.251656,6.024467,72
3,46.251194,6.025593,73
3,46.251232,6.025829,74
3,46.251011,6.026076,75
3,46.250645,6.025786,76
3,46.250484,6.025797,77
3,46.249527,6.026977,78
3,46.248634,6.026881,79
3,46.248116,6.027696,80
3,46.249519,6.029638,81
3,46.249928,6.030078,82
3,46.250526,6.03055,83
3,46.251034,6.031226,84
3,46.251522,6.031966,85
3,46.251827,6.033007,86
3,46.252041,6.033511,87
3,46.252308,6.033715,88
3,46.252895,6.034584,89
3,46.253563,6.035045,90
3,46.254284,6.035249,91
3,46.254608,6.035346,92
3,46.255135,6.035904,93
3,46.255394,6.036344,94
3,46.255684,6.037202,95
3,46.256565,6.038275,96
3,46.257027,6.038736,97
3,46.256947,6.039155,98
3,46.254932,6.041268,99
3,46.252403,6.044648,100
3,46.252087,6.044809,101
3,46.252277,6.045259,102
3,46.25256,6.04601,103
3,46.253719,6.051986,104
3,46.253986,6.057329,105
3,46.254192,6.059743,106
3,46.254803,6.059389,107
3,46.255306,6.058552,108
3,46.255676,6.057737,109
3,46.258427,6.061642,110
3,46.260483,6.058638,111
3,46.261646,6.060097,112
3,46.263428,6.061524,113
3,46.264317,6.062779,114
3,46.263428,6.061524,115
3,46.261646,6.060097,116
3,46.260483,6.058638,117
3,46.258427,6.061642,118
3,46.255676,6.057737,119
3,46.255188,6.058488,120
3,46.254803,6.059389,121
3,46.254192,6.059743,122
3,46.254349,6.061782,123
3,46.254074,6.062822,124
3,46.253548,6.063638,125
3,46.249733,6.066835,126
3,46.248791,6.067586,127
3,46.245342,6.07103,128
3,46.244621,6.072124,129
3,46.244274,6.073208,130
3,46.244179,6.074291,131
3,46.244339,6.075622,132
3,46.245907,6.080353,133
3,46.24609,6.081094,134
3,46.246033,6.081651,135
3,46.246307,6.081748,136
3,46.246616,6.082456,137
3,46.247486,6.085063,138
3,46.24765,6.085922,139
3,46.24762,6.086415,140
3,46.247478,6.086715,141
3,46.247604,6.086941,142
3,46.247509,6.087735,143
3,46.246181,6.091973,144
3,46.245533,6.093872,145
3,46.245468,6.094397,146
3,46.245216,6.094515,147
3,46.245247,6.094837,148
3,46.244919,6.095331,149
3,46.244251,6.094397,150
3,46.244022,6.094397,151
3,46.243309,6.095213,152
3,46.243042,6.095213,153
3,46.242821,6.094784,154
3,46.242611,6.094505,155
3,46.242306,6.094687,156
3,46.241276,6.096114,157
3,46.242306,6.094687,158
3,46.242611,6.094505,159
3,46.242821,6.094784,160
3,46.243042,6.095213,161
3,46.243309,6.095213,162
3,46.244022,6.094397,163
3,46.244251,6.094397,164
3,46.244919,6.095331,165
3,46.245247,6.094837,166
3,46.245506,6.094977,167
3,46.249184,6.100513,168
3,46.249584,6.101907,169
3,46.249557,6.103259,170
3,46.248882,6.105695,171
3,46.248783,6.107111,172
